,産業,年度,企業数,経常利益率 ＜－10%,－10%≦ 経常利益率 ＜－8%,－8%≦ 経常利益率 ＜－6%,－6%≦ 経常利益率 ＜－4%,－4%≦ 経常利益率 ＜－2%,－2%≦ 経常利益率 ＜0%,0%≦ 経常利益率 ≦2%,2%＜ 経常利益率 ≦4%,4%＜ 経常利益率 ≦6%,6%＜ 経常利益率 ≦8%,8%＜ 経常利益率 ≦10%,10%＜ 経常利益率,合計
32,　　090 食料品製造業,平成17年度,1400,1204,2076,1365,5696,8674,37079,174026,131691,76306,25491,11388,20034,495030
34,　　100 飲料・たばこ・飼料製造業,平成17年度,198,163,296,108,135,695,2009,20224,16512,7436,20358,12845,5411,86192
36,　　110 繊維工業,平成17年度,281,1630,576,1055,1991,1816,1922,10285,8403,11384,6115,1022,2983,49182
38,　　120 衣服・その他の繊維製品製造業,平成17年度,270,731,501,1695,871,1127,4223,16535,8174,9887,1643,2100,2665,50152
40,　　130 木材・木製品製造業（家具を除く）,平成17年度,142,575,264,-,436,1307,2345,10762,7473,2426,651,409,397,27045
42,　　140 家具・装備品製造業,平成17年度,153,716,795,426,1616,1446,1227,13191,11377,1296,2466,790,1446,36792
44,　　150 パルプ・紙・紙加工品製造業,平成17年度,391,237,493,2309,969,1447,2758,27697,24304,30641,5936,5046,3827,105664
46,　　160 印刷・同関連業,平成17年度,610,181,137,301,392,1451,4709,38733,26856,39156,13999,5629,7574,139118
48,　　170 化学工業,平成17年度,930,3498,386,351,717,3569,4829,28048,54716,53158,76032,57052,175728,458084
50,　　180 石油製品・石炭製品製造業,平成17年度,49,-,-,-,-,-,241,10705,12022,5169,1256,-,308,29701
52,　　190 プラスチック製品製造業,平成17年度,710,513,-,552,466,3801,5355,39380,37513,20352,11729,10298,24786,154745
54,　　200 ゴム製品製造業,平成17年度,158,-,78,88,238,667,1479,8796,10519,12412,4290,10132,21310,70009
56,　　210 なめし革・同製品・毛皮製造業,平成17年度,29,-,-,-,-,-,242,1709,1318,210,50,295,-,3824
58,　　220 窯業・土石製品製造業,平成17年度,494,990,385,1764,2059,3551,4144,28443,13511,16900,13601,4047,27363,116758
60,　　230 鉄鋼業,平成17年度,408,65,-,66,244,260,1527,11383,13431,18753,15446,11023,88577,160775
62,　　240 非鉄金属製造業,平成17年度,318,72,-,-,-,300,1595,21120,43396,21191,8647,6523,11806,114650
64,　　250 金属製品製造業,平成17年度,991,1085,99,757,527,5885,5722,52650,62592,28365,22160,13455,31222,224519
66,　　260 一般機械器具製造業,平成17年度,1611,3195,1646,1454,1899,9281,5698,110610,74425,59826,84002,65782,141630,559448
68,　　270 電気機械器具製造業,平成17年度,911,2630,2791,1373,4077,6217,8131,50592,94902,56437,38934,17330,58078,341492
70,　　280 情報通信機械器具製造業,平成17年度,368,2141,325,7618,734,32520,19199,154458,70376,46415,5334,3927,10644,353691
72,　　290 電子部品・デバイス製造業,平成17年度,707,7064,635,6091,2615,23069,12205,54778,53353,37376,28104,19139,77189,321618
74,　　300 輸送用機械器具製造業,平成17年度,1155,752,533,3199,774,4027,43296,134851,201812,168510,61222,133401,112689,865066
76,　　310 精密機械器具製造業,平成17年度,380,1136,154,258,907,4542,306,15533,19070,26246,15388,12588,24397,120525
78,　　320 その他の製造業,平成17年度,326,1955,-,1453,1119,841,1503,18526,19007,24264,17719,3010,14223,103620
80,　卸売・小売業,平成13年度,9885,14438,6519,16136,25554,69745,274841,1909949,749155,244293,161963,66062,114442,3653097
81,　卸売・小売業,平成14年度,9513,7748,4243,4916,26579,60738,163513,1885740,907894,268055,132708,81475,119103,3662712
82,　卸売・小売業,平成15年度,9120,3980,4486,6526,14720,43094,153479,1885618,866478,256727,142606,112555,126807,3617076
83,　卸売・小売業,平成16年度,9545,9286,3949,14658,14640,49819,182237,2025328,797845,351942,168475,129696,150709,3898584
84,　卸売・小売業,平成17年度,9285,10605,5444,6489,9907,44915,245393,1691346,953841,408781,167752,90474,203849,3838796
86,　卸売業,平成13年度,6251,4581,2222,6544,14304,26337,165873,868332,228568,103200,46644,26819,37817,1531241
87,　卸売業,平成14年度,6022,3019,1961,3376,14724,27563,74540,862748,270010,98605,42002,35782,44828,1479158
88,　卸売業,平成15年度,5767,2051,2509,4549,5803,18718,61936,788656,281421,86793,51285,21108,64793,1389622
89,　卸売業,平成16年度,5948,5924,2096,12209,5378,18556,50585,737685,309737,136322,57174,40060,55047,1430773
90,　卸売業,平成17年度,5747,4973,794,2030,3640,10844,60732,644654,339858,165306,73045,31476,68096,1405448
92,　　501 繊維品卸売業,平成17年度,94,146,-,-,63,110,77,5793,6137,1286,1188,311,545,15656
94,　　502 衣服・身の回り品卸売業,平成17年度,349,2001,-,531,916,1249,2288,26633,17979,17071,11670,1229,9021,90588
96,　　511 農畜産物・水産物卸売業,平成17年度,477,-,-,-,276,413,10603,56761,9333,880,705,395,129,79495
98,　　512 食料・飲料卸売業,平成17年度,543,476,370,117,168,2421,11580,92753,31251,4220,7723,9073,2811,162963
100,　　521 建築材料卸売業,平成17年度,442,61,-,118,138,459,2352,40672,12092,4307,2957,784,769,64709
102,　　522 化学製品卸売業,平成17年度,346,632,-,-,-,279,360,27603,16750,5857,5131,1115,1571,59298
104,　　523 鉱物・金属材料卸売業,平成17年度,524,-,-,186,-,204,2295,84763,26111,6254,3367,2776,3112,129068
106,　　524 再生資源卸売業,平成17年度,49,-,-,-,120,55,59,1829,1646,2495,388,312,120,7024
108,　　531 一般機械器具卸売業,平成17年度,506,172,80,95,74,464,4232,41449,35597,16990,5234,2751,6065,113203
110,　　532 自動車卸売業,平成17年度,333,227,-,196,413,771,1939,30297,24324,5992,3361,876,404,68800
112,　　533 電気機械器具卸売業,平成17年度,657,212,125,177,240,1372,6729,73367,53746,73168,12675,2185,16859,240855
114,　　539 その他の機械器具卸売業,平成17年度,320,-,-,-,56,593,865,18956,27265,5329,5599,1729,6452,66844
116,　　541 家具・建具・じゅう器等卸売業,平成17年度,153,154,157,55,198,1479,480,11770,12719,2313,2722,671,587,33305
118,　　542 医薬品・化粧品等卸売業,平成17年度,221,231,-,445,-,-,12819,71698,28044,4817,5495,3082,10514,137145
120,　　549 その他の卸売業,平成17年度,733,661,62,110,978,975,4054,60310,36864,14327,4830,4187,9137,136495
122,　小売業,平成13年度,3634,9857,4297,9592,11250,43408,108968,1041617,520587,141093,115319,39243,76625,2121856
123,　小売業,平成14年度,3491,4729,2282,1540,11855,33175,88973,1022992,637884,169450,90706,45693,74275,2183554
124,　小売業,平成15年度,3353,1929,1977,1977,8917,24376,91543,1096962,585057,169934,91321,91447,62014,2227454
125,　小売業,平成16年度,3597,3362,1853,2449,9262,31263,131652,1287643,488108,215620,111301,89636,95662,2467811
126,　小売業,平成17年度,3538,5632,4650,4459,6267,34071,184661,1046692,613983,243475,94707,58998,135753,2433348
128,　　560 織物・衣服・身の回り品小売業,平成17年度,401,1861,561,673,2716,2133,6128,89408,63623,49634,24106,29847,63177,333867
130,　　570 飲食料品小売業,平成17年度,911,1044,3148,2411,1725,18563,112386,581533,352042,59051,23253,4725,39251,1199132
132,　　580 自動車・自転車小売業,平成17年度,847,1699,131,347,550,5429,27046,157632,45453,7757,5611,322,1725,253702
134,　　591 家具・建具・じゅう器小売業,平成17年度,85,80,282,300,191,128,433,14977,10657,16945,10797,58,9107,63955
136,　　592 機械器具小売業,平成17年度,205,-,-,68,57,2782,7155,26883,31149,16238,1190,702,1795,88019
138,　　601 医薬品・化粧品小売業,平成17年度,177,-,-,-,-,244,735,25353,39840,35351,15872,1787,7437,126619
140,　　603 燃料小売業,平成17年度,366,262,-,387,-,1245,6757,58809,12856,1863,775,471,823,84248
142,　　609 その他の小売業,平成17年度,546,686,528,273,1028,3547,24021,92097,58363,56636,13103,21086,12438,283806
144,　飲食店,平成13年度,491,3409,2812,950,7482,13394,14075,156423,127494,165666,60155,34156,20027,606043
145,　飲食店,平成14年度,511,14774,1066,910,8554,19454,35821,251429,141135,57144,78070,14694,44066,667117
146,　飲食店,平成15年度,496,459,206,1907,3499,11305,29548,257178,164825,117407,27548,17611,32774,664267
147,　飲食店,平成16年度,551,2680,1834,1395,2994,9332,38396,279218,158841,178980,33669,5431,26063,738833
148,　飲食店,平成17年度,498,2127,1216,1357,7035,20099,27617,240695,192785,138552,22302,15173,20714,689672
150,　　701 一般飲食店,平成17年度,464,2127,1216,1357,6777,16111,27280,237945,182622,131046,22302,12544,18269,659596
152,　　711 その他の飲食店,平成17年度,34,-,-,-,258,3988,337,2750,10163,7506,-,2629,2445,30076
154,　電気・ガス業,平成13年度,101,-,130,176,-,69,747,2374,6406,6315,161737,10681,2445,191080
155,　電気・ガス業,平成14年度,103,211,120,-,169,619,253,3263,4035,48221,124704,2256,1884,185735
156,　電気・ガス業,平成15年度,105,54,-,-,617,231,555,3993,3110,5251,100458,52749,14891,181909
157,　電気・ガス業,平成16年度,109,-,-,-,913,208,702,3928,5479,16636,41130,47372,61137,177505
158,　電気・ガス業,平成17年度,104,465,65,65,78,157,1930,4653,15557,9063,70870,62034,8281,173218
160,　　331 電気業,平成17年度,27,-,-,-,-,-,244,2680,13464,91,58784,61322,-,136585
162,　　341 ガス業,平成17年度,77,465,65,65,78,157,1686,1973,2093,8972,12086,712,8281,36633
164,　643 クレジットカード業・割賦金融業,平成13年度,79,1002,-,-,-,-,-,724,6715,11065,3540,16582,11061,50689
165,　643 クレジットカード業・割賦金融業,平成14年度,75,1493,715,-,-,-,254,5088,1565,8660,7396,11816,13232,50219
166,　643 クレジットカード業・割賦金融業,平成15年度,72,80,-,-,-,1450,-,3336,7230,6947,4279,1666,25363,50351
167,　643 クレジットカード業・割賦金融業,平成16年度,70,54,-,-,250,-,209,181,5248,9388,537,1580,27818,45265
168,　643 クレジットカード業・割賦金融業,平成17年度,74,500,-,-,-,201,88,230,3660,1255,1158,3926,39882,50900
170,　情報サービス・情報制作業,平成13年度,1692,3956,1778,2135,3898,8383,9104,96719,128372,104937,74990,44298,87260,565830
171,　情報サービス・情報制作業,平成14年度,1743,5147,2552,3688,3820,7826,14002,111031,132879,124333,62426,48924,91423,608051
172,　情報サービス・情報制作業,平成15年度,1732,3431,1098,1009,2931,5513,13842,124555,120976,145104,75461,54395,81710,630025
173,　情報サービス・情報制作業,平成16年度,1943,4080,2167,3766,8801,4940,19626,134319,123825,141858,91126,64466,115547,714521
174,　情報サービス・情報制作業,平成17年度,1866,4813,3110,1665,3458,4083,15502,140315,126805,169746,89915,105270,77088,741770
176,　　情報サービス業,平成13年度,1398,3044,1321,2135,2317,5122,7129,76394,113963,79044,68996,36373,75927,471765
177,　　情報サービス業,平成14年度,1451,4452,2072,2787,2743,6477,11702,89102,110090,104509,55715,41730,81812,513191
178,　　情報サービス業,平成15年度,1440,2991,382,603,2167,4064,11215,104495,100499,126400,65589,46091,71504,536000
179,　　情報サービス業,平成16年度,1618,3445,1925,2928,8647,3939,15762,111394,110832,115763,81081,54485,106062,616263
180,　　情報サービス業,平成17年度,1562,3790,3032,1118,3037,3549,13713,124786,104704,153955,77643,98076,57238,644641
182,　　　391 ソフトウェア業,平成17年度,1140,3051,3032,854,2176,2089,8125,95367,82249,103437,46398,48293,35453,430524
184,　　　392 情報処理・提供サービス業,平成17年度,422,739,-,264,861,1460,5588,29419,22455,50518,31245,49783,21785,214117
186,　　410 情報制作業,平成13年度,294,912,457,-,1581,3261,1975,20325,14409,25893,5994,7925,11333,94065
187,　　410 情報制作業,平成14年度,292,695,480,901,1077,1349,2300,21929,22789,19824,6711,7194,9611,94860
188,　　410 情報制作業,平成15年度,292,440,716,406,764,1449,2627,20060,20477,18704,9872,8304,10206,94025
189,　　410 情報制作業,平成16年度,325,635,242,838,154,1001,3864,22925,12993,26095,10045,9981,9485,98258
190,　　410 情報制作業,平成17年度,304,1023,78,547,421,534,1789,15529,22101,15791,12272,7194,19850,97129
192,　　　411 映画・ビデオ制作業,平成17年度,87,128,-,71,183,-,189,2766,3193,1741,1711,935,2164,13081
194,　　　413 新聞業,平成17年度,83,-,-,417,115,73,575,8874,13897,7703,6404,3134,4856,46048
196,　　　414 出版業,平成17年度,134,895,78,59,123,461,1025,3889,5011,6347,4157,3125,12830,38000
198,　774 個人教授所,平成13年度,55,570,-,-,1453,200,715,4626,2531,3889,5243,1353,1416,21996
199,　774 個人教授所,平成14年度,41,-,-,-,-,-,2692,5773,4784,978,4166,1186,2240,21819
200,　774 個人教授所,平成15年度,41,-,151,-,-,-,1970,3290,4660,6059,20503,1235,2279,40147
201,　774 個人教授所,平成16年度,43,333,-,1744,-,-,169,5657,2983,19032,2823,4221,4513,41475
202,　774 個人教授所,平成17年度,39,-,-,-,773,2840,334,1231,16992,1660,6293,6381,1954,38458
204,　サービス業,平成13年度,1747,19196,4947,3839,6719,9143,25782,145894,126943,65594,22908,33395,65158,529518
205,　サービス業,平成14年度,1740,18038,3023,3283,7836,7952,26226,156107,113671,55021,70099,30637,68252,560145
206,　サービス業,平成15年度,1772,10174,2969,11046,2958,10201,15189,165341,126250,71997,56473,35730,72445,580773
207,　サービス業,平成16年度,1923,9431,1855,3386,7963,7039,12813,171948,164711,86254,53382,56629,102068,677479
208,　サービス業,平成17年度,1934,6492,1863,6969,5574,6569,18118,159128,229402,84975,65573,67709,116026,768398
210,　サービス業(その他のサービス業を除く),平成13年度,1269,17325,4145,2762,6630,8060,22761,90521,63055,42345,16069,21366,17430,312469
211,　サービス業(その他のサービス業を除く),平成14年度,1216,17158,2909,2997,5188,6758,22429,94031,62395,31548,32978,15828,17208,311427
212,　サービス業(その他のサービス業を除く),平成15年度,1309,7879,2708,10115,2563,7756,7921,104587,86936,44961,38158,18971,31810,364365
213,　サービス業(その他のサービス業を除く),平成16年度,1279,6642,1741,2616,7205,5369,7450,96419,86933,50067,31139,22485,33465,351531
214,　サービス業(その他のサービス業を除く),平成17年度,1221,5423,1293,1532,4492,3404,12647,72067,76470,54760,34187,30495,43756,340526
216,　　806 デザイン業・機械設計業,平成17年度,58,-,-,-,-,167,117,1473,5907,1754,5698,3582,891,19589
218,　　809 エンジニアリング業,平成17年度,134,-,-,-,2816,440,1037,13145,20196,9957,4279,8364,1433,61667
220,　　836 冠婚葬祭業（互助会を除く）,平成17年度,81,178,420,-,220,-,1695,4851,3171,2847,1292,1835,10253,26762
222,　　839 写真現像・焼付業,平成17年度,16,120,175,-,-,-,153,261,2657,-,-,-,-,3366
224,　　843 ゴルフ場,平成17年度,323,4546,698,954,1456,2215,1631,4622,4841,2674,2183,1630,5720,33170
226,　　845 遊園地・テーマパーク,平成17年度,25,229,-,418,-,-,5477,470,845,1871,156,3149,1047,13662
228,　　846 ボウリング場,平成17年度,10,102,-,160,-,-,81,112,234,54,-,126,-,869
230,　　871 機械修理業,平成17年度,176,-,-,-,-,304,662,20036,12742,17031,13422,3985,8306,76488
232,　　891 広告代理業,平成17年度,145,92,-,-,-,-,56,16376,9038,3429,2173,1059,2463,34686
234,　　物品賃貸業（レンタル業を除く）,平成17年度,202,69,-,-,-,278,1738,9714,15192,12394,4477,4922,12101,60885
236,　　902 商品検査業,平成17年度,9,-,-,-,-,-,-,322,119,135,98,-,853,1527
238,　　903 計量証明業,平成17年度,30,87,-,-,-,-,-,384,799,2305,409,1762,599,6345
240,　　909 ディスプレイ業,平成17年度,12,-,-,-,-,-,-,301,729,309,-,81,90,1510
242,　サービス業(その他のサービス業),平成13年度,478,1871,802,1077,89,1083,3021,55373,63888,23249,6839,12029,47728,217049
243,　サービス業(その他のサービス業),平成14年度,524,880,114,286,2648,1194,3797,62076,51276,23473,37121,14809,51044,248718
244,　サービス業(その他のサービス業),平成15年度,463,2295,261,931,395,2445,7268,60754,39314,27036,18315,16759,40635,216408
245,　サービス業(その他のサービス業),平成16年度,644,2789,114,770,758,1670,5363,75529,77778,36187,22243,34144,68603,325948
246,　サービス業(その他のサービス業),平成17年度,713,1069,570,5437,1082,3165,5471,87061,152932,30215,31386,37214,72270,427872
248,その他の産業,平成13年度,796,3851,895,728,1327,5569,12096,90935,52513,29935,19660,17101,16902,251512
249,その他の産業,平成14年度,825,1454,178,3552,1346,3459,18419,79799,63167,36566,19757,14979,28426,271102
250,その他の産業,平成15年度,803,2094,275,898,2692,5776,10357,80795,61001,43366,27039,7327,31711,273331
251,その他の産業,平成16年度,883,11523,1799,3620,1388,9571,17746,76493,64075,48427,39168,26169,48888,348867
252,その他の産業,平成17年度,850,6644,1177,2432,2573,8755,23941,83211,83950,39315,43939,26114,56471,378522
