,産業,年度,企業数,経常利益率 <-10%,－10%≦ 経常利益率 <-8%,－8%≦ 経常利益率 <-6%,－6%≦ 経常利益率 <-4%,－4%≦ 経常利益率 <-2%,－2%≦ 経常利益率 <0%,0%≦ 経常利益率 ≦2%,2%< 経常利益率 ≦4%,4%< 経常利益率 ≦6%,6%< 経常利益率 ≦8%,8%< 経常利益率 ≦10%,10%< 経常利益率,合計
35,　　170　石油製品・石炭製品製造業,平成28年度,50,-,-,-,-,-,-,4603,8141,2209,693,795,3972,20413
36,　　180　プラスチック製品製造業,平成28年度,773,1367,221,232,1203,1745,5797,25263,30043,34389,28056,20977,36435,185728
37,　　190　ゴム製品製造業,平成28年度,150,-,-,52,366,1938,1025,4143,6147,8050,10539,1330,34435,68025
38,　　200　なめし革・同製品・毛皮製造業,平成28年度,23,329,-,-,265,486,-,354,352,328,200,-,680,2994
39,　　210　窯業・土石製品製造業,平成28年度,461,1123,107,2998,389,2221,1140,18364,15338,15645,15054,12409,22314,107102
40,　　220　鉄鋼業,平成28年度,438,885,117,98,1435,1929,30702,62182,29487,17499,18783,10279,7722,181118
41,　　230　非鉄金属製造業,平成28年度,357,319,88,56,206,1571,2098,18668,27435,35790,16094,9268,14574,126167
42,　　240　金属製品製造業,平成28年度,1048,1012,594,975,1426,1989,4009,39448,47828,53839,38611,16327,41115,247173
43,　　250　はん用機械器具製造業,平成28年度,533,574,-,287,476,854,9126,14332,20818,39213,14469,17138,43048,160335
44,　　260　生産用機械器具製造業,平成28年度,1031,3196,365,1949,1659,7332,5975,25017,45505,36354,32159,44523,89118,293152
45,　　270　業務用機械器具製造業,平成28年度,423,2587,167,695,1922,1892,3313,19227,53402,23519,23406,44913,69844,244887
46,　　280　電子部品・デバイス・電子回路製造業,平成28年度,640,9182,820,729,2985,4607,22373,38248,60137,56606,36495,11548,110478,354208
47,　　290　電気機械器具製造業,平成28年度,763,8662,1019,1115,3119,2528,3948,44280,66155,97481,95364,25757,40872,390300
48,　　300　情報通信機械器具製造業,平成28年度,224,2819,2780,1644,1549,5353,3941,38030,67868,14417,7616,6006,6419,158442
49,　　310　輸送用機械器具製造業,平成28年度,1336,3308,2050,531,5250,4406,25529,150017,219851,200931,111610,81333,256009,1060825
50,　　320　その他の製造業,平成28年度,320,390,60,113,196,2852,2417,13054,17442,11538,9040,7376,19922,84400
51,　電気・ガス業,平成24年度,130,45450,55,37556,94,41954,5317,9321,13642,14421,11698,1600,516,181624
52,　電気・ガス業,平成25年度,136,5967,11972,-,23208,19319,14669,47375,29784,18952,10652,501,760,183159
53,　電気・ガス業,平成26年度,139,-,104,73,34607,1306,6252,28323,53818,35780,20542,161,1850,182816
54,　電気・ガス業,平成27年度,140,78,-,-,-,155,186,6915,34387,51213,44343,30449,11916,179642
55,　電気・ガス業,平成28年度,136,199,-,-,-,209,5938,34360,18850,94146,12160,1252,7548,174662
56,　　331　電気業,平成28年度,56,199,-,-,-,-,5668,31938,5685,88892,349,53,5900,138684
57,　　341　ガス業,平成28年度,80,-,-,-,-,209,270,2422,13165,5254,11811,1199,1648,35978
58,　情報通信業,平成24年度,2467,7087,1256,2943,8023,4891,15693,132964,211876,183779,138351,80364,125766,912993
59,　情報通信業,平成25年度,2478,9167,1541,1857,3926,2860,22304,139365,201907,203745,116061,80759,152570,936062
60,　情報通信業,平成26年度,2490,5994,1633,2450,3591,4626,12374,165725,197186,202546,131495,85258,177085,989963
61,　情報通信業,平成27年度,2564,5928,4395,2747,4006,3631,12334,195423,156811,218311,137447,102174,196742,1039949
62,　情報通信業,平成28年度,2660,6883,1265,2831,3803,8297,14459,216494,138873,212566,118225,127870,220735,1072301
63,　　391　ソフトウェア業,平成28年度,1538,2888,388,1595,653,5779,5264,151547,76121,98828,84058,87267,102845,617233
64,　　392　情報処理・提供サービス業,平成28年度,604,850,50,486,1565,719,4095,45212,35960,90056,23936,31709,75753,310391
65,　　401　インターネット附随サービス業,平成28年度,199,2088,354,498,743,293,659,2518,8146,6444,2162,4024,32587,60516
66,　　411　映画・ビデオ制作業（※）,平成28年度,117,454,240,51,268,313,266,5011,4473,2106,2900,1182,3527,20791
67,　　413　新聞業,平成28年度,85,64,-,-,219,319,716,9265,11651,11980,2657,1396,1011,39278
68,　　414　出版業,平成28年度,117,539,233,201,355,874,3459,2941,2522,3152,2512,2292,5012,24092
69,　卸売業,平成24年度,5841,2640,613,2334,3414,9909,66445,676381,369528,153257,71153,28331,67729,1451734
70,　卸売業,平成25年度,5741,2424,707,2089,6225,16785,45529,677486,374591,184940,66568,53666,70066,1501076
71,　卸売業,平成26年度,5804,3934,709,4922,8284,20663,86803,685447,343001,172464,88487,44762,98543,1558019
72,　卸売業,平成27年度,5767,6668,2908,2862,7397,20617,59769,683808,363006,187484,85104,43030,86046,1548699
73,　卸売業,平成28年度,5710,8908,3357,3609,6013,14588,46929,645104,396450,199058,85711,49449,87080,1546256
74,　　511　繊維品卸売業,平成28年度,59,194,126,-,168,-,147,2754,5164,813,180,196,200,9942
75,　　512　衣服・身の回り品卸売業,平成28年度,316,4756,1282,924,700,2412,3462,28055,15263,3107,12646,1495,5359,79461
76,　　521　農畜産物・水産物卸売業,平成28年度,468,-,-,-,-,-,2109,62591,19334,9694,1099,601,860,96288
77,　　522　食料・飲料卸売業,平成28年度,545,62,151,60,63,600,5655,107519,27867,13391,5979,3571,4327,169245
78,　　531　建築材料卸売業,平成28年度,456,471,-,1745,161,111,1215,31963,23205,17281,2857,687,1343,81039
79,　　532　化学製品卸売業,平成28年度,335,102,-,-,63,-,571,21697,19055,5624,1695,1771,1448,52026
80,　　533　石油・鉱物卸売業,平成28年度,181,-,-,-,295,-,160,29761,34960,8430,1629,734,2053,78022
81,　　534　鉄鋼製品卸売業,平成28年度,272,-,-,-,313,187,336,26006,19232,7903,1118,225,289,55609
82,　　535　非鉄金属卸売業,平成28年度,73,-,-,-,415,-,-,11702,2877,1725,408,118,-,17245
83,　　536　再生資源卸売業,平成28年度,76,-,-,-,184,-,628,3451,3840,1847,764,384,742,11840
84,　　541　産業機械器具卸売業,平成28年度,493,166,798,156,-,1156,1055,38124,31239,38069,6982,15532,5922,139199
85,　　542　自動車卸売業,平成28年度,319,-,-,-,66,1293,2690,28394,33021,15985,2832,3230,2759,90270
86,　　543　電気機械器具卸売業,平成28年度,668,1529,138,614,2267,1542,10024,68806,61177,23403,15730,3897,12309,201436
87,　　549　その他の機械器具卸売業,平成28年度,356,468,397,-,617,5239,1853,27360,18584,9778,8550,2215,12088,87149
88,　　551　家具・建具・じゅう器等卸売業,平成28年度,154,66,152,-,-,227,1595,12489,5863,6090,3246,526,621,30875
89,　　552　医薬品・化粧品等卸売業,平成28年度,247,912,313,-,-,621,11865,84629,41416,7599,8763,5668,22136,183922
90,　　553　紙、紙製品卸売業,平成28年度,100,-,-,57,54,-,355,13482,2035,1621,140,75,541,18360
91,　　559　その他の卸売業,平成28年度,592,182,-,53,647,1200,3209,46321,32318,26698,11093,8524,14083,144328
92,　小売業,平成24年度,3639,6083,3843,3625,9763,27917,176952,1311648,753868,451125,118721,113937,148439,3125921
93,　小売業,平成25年度,3570,8482,2318,2791,21777,27039,154613,1383323,770854,402297,128449,126183,113090,3141216
94,　小売業,平成26年度,3587,7830,5017,12967,17374,75726,174116,1393469,857834,379134,117617,83768,133613,3258465
95,　小売業,平成27年度,3558,8543,4671,15973,13119,28683,147634,1157400,1090477,491045,188011,98274,119767,3363597
96,　小売業,平成28年度,3556,12083,6843,10283,11464,50571,105468,1253882,959511,512821,174378,88022,133765,3319091
97,　　570　織物・衣服・身の回り品小売業,平成28年度,374,3392,1700,3318,2900,9936,25641,103360,51110,35775,38522,37457,20234,333345
98,　　580　飲食料品小売業,平成28年度,890,672,2354,4444,2586,31284,34122,729718,506348,200716,16980,25431,3942,1558597
99,　　591　自動車・自転車小売業,平成28年度,834,2283,-,51,1084,1520,6004,73407,128504,53497,13808,2042,1178,283378
100,　　593　機械器具小売業,平成28年度,205,133,58,-,-,77,3049,32336,49875,42596,15553,1171,447,145295
101,　　602　家具・建具・じゅう器小売業,平成28年度,55,188,1900,-,81,574,793,9775,3192,6301,307,9288,28041,60440
102,　　603　医薬品・化粧品小売業,平成28年度,232,167,-,1548,55,1462,4325,42185,92924,64834,50710,3492,5716,267418
103,　　605　燃料小売業,平成28年度,362,-,-,69,56,259,5353,61858,14134,8633,7867,1966,3293,103488
104,　　609　その他の小売業,平成28年度,482,2670,261,853,4702,5459,24756,151118,92745,98271,29568,5793,65061,481257
105,　　610　無店舗小売業,平成28年度,122,2578,570,-,-,-,1425,50125,20679,2198,1063,1382,5853,85873
106,　クレジットカード業、割賦金融業,平成24年度,85,70,-,-,-,-,-,8369,549,1492,1407,14428,32393,58708
107,　クレジットカード業、割賦金融業,平成25年度,79,-,-,-,-,-,-,-,1205,846,15820,704,35746,54321
108,　クレジットカード業、割賦金融業,平成26年度,79,-,-,-,-,755,-,7483,729,3057,6218,7870,28888,55000
109,　クレジットカード業、割賦金融業,平成27年度,80,1254,-,5159,-,-,-,7346,2163,437,785,3849,35536,56529
110,　クレジットカード業、割賦金融業,平成28年度,83,437,-,-,-,5329,-,1009,2555,7502,600,4724,36320,58476
111,　物品賃貸業,平成24年度,297,77,251,194,-,71,455,8884,14919,15422,18187,10897,6699,76056
112,　物品賃貸業,平成25年度,299,82,139,-,79,148,205,8691,13040,19226,15189,9160,14004,79963
113,　物品賃貸業,平成26年度,308,108,-,-,79,1726,516,9113,14018,14082,15421,12149,15940,83152
114,　物品賃貸業,平成27年度,311,231,-,967,427,443,-,11687,16999,27091,9844,12574,19838,100101
115,　物品賃貸業,平成28年度,313,123,-,1314,72,122,688,11387,18092,22660,23179,9940,16158,103735
116,　　702　産業用機械器具賃貸業（レンタルを含む）,平成28年度,183,-,-,1314,72,122,333,4160,10061,10228,8254,3619,13582,51745
117,　　703　事務用機械器具賃貸業（レンタルを含む）,平成28年度,23,-,-,-,-,-,-,-,2152,2323,169,659,444,5747
118,　　704　自動車賃貸業（レンタルを除く）,平成28年度,56,-,-,-,-,-,255,5715,3554,5871,740,319,377,16831
119,　　705　スポーツ・娯楽用品賃貸業（レンタルを含む）,平成28年度,5,-,-,-,-,-,-,174,80,-,127,501,-,882
120,　　708　その他の物品賃貸業（レンタルを含む）,平成28年度,46,123,-,-,-,-,100,1338,2245,4238,13889,4842,1755,28530
121,　学術研究、専門・技術サービス業,平成24年度,602,442,169,895,84,1056,17575,40633,62814,32257,27122,18097,40056,241200
122,　学術研究、専門・技術サービス業,平成25年度,596,541,1578,-,790,568,6217,52130,41575,53927,29102,17257,39932,243617
123,　学術研究、専門・技術サービス業,平成26年度,626,2385,248,305,298,918,4858,49292,44571,69243,29253,16030,48293,265694
124,　学術研究、専門・技術サービス業,平成27年度,625,848,243,2816,1318,1494,3292,51854,38911,50203,25195,26724,44072,246970
125,　学術研究、専門・技術サービス業,平成28年度,629,686,166,321,421,553,4497,45232,54356,40362,41682,25192,50425,263893
126,　　710　学術・開発研究機関,平成28年度,73,177,166,-,-,-,1354,19935,3468,2684,4044,791,8394,41013
127,　　726　デザイン業,平成28年度,10,-,-,-,-,-,-,232,57,121,253,181,611,1455
128,　　728　エンジニアリング業,平成28年度,172,136,-,-,-,258,1783,5534,23548,21650,17177,10331,15353,95770
129,　　730　広告業,平成28年度,234,373,-,110,421,85,607,16059,16525,5653,13199,2233,15283,70548
130,　　743　機械設計業,平成28年度,54,-,-,-,-,58,84,1457,4612,6786,1676,4602,3888,23163
131,　　744　商品・非破壊検査業,平成28年度,28,-,-,-,-,-,51,149,1056,2194,999,571,1199,6219
132,　　745　計量証明業,平成28年度,44,-,-,-,-,152,480,1118,5014,1098,4334,2020,4270,18486
133,　　746　写真業,平成28年度,14,-,-,211,-,-,138,748,76,176,-,4463,1427,7239
134,　飲食サービス業,平成24年度,610,2444,1791,2456,4980,6160,27972,253943,342849,145697,179288,57899,44665,1070144
135,　飲食サービス業,平成25年度,609,4532,602,2257,3976,16480,26606,336392,331160,174114,112867,73819,28985,1111790
136,　飲食サービス業,平成26年度,584,839,420,3957,4506,32839,23908,234776,401107,168820,97090,92064,28978,1089304
137,　飲食サービス業,平成27年度,587,1954,98,664,3654,8478,86127,270294,253638,317710,76511,49109,73371,1141608
138,　飲食サービス業,平成28年度,592,1318,196,1579,3731,9449,53333,258673,307484,171239,134135,54577,35753,1031467
139,　　760　一般飲食店,平成28年度,500,1118,-,1389,3411,7797,51402,202860,260088,104664,85630,53809,33093,805261
140,　　770　持ち帰り・配達飲食サービス業,平成28年度,92,200,196,190,320,1652,1931,55813,47396,66575,48505,768,2660,226206
141,　生活関連サービス業、娯楽業,平成24年度,707,3086,209,1687,3582,2449,6808,41635,43071,39394,24597,18384,80274,265176
142,　生活関連サービス業、娯楽業,平成25年度,695,2028,2027,435,4214,4282,4726,40958,50155,50142,21790,20620,84529,285906
143,　生活関連サービス業、娯楽業,平成26年度,687,4009,1717,1486,1288,2916,7860,54466,45273,53943,22723,15415,80206,291302
144,　生活関連サービス業、娯楽業,平成27年度,697,4568,287,1273,1968,3127,6464,26567,60123,31729,45438,21054,79825,282423
145,　生活関連サービス業、娯楽業,平成28年度,678,2047,2324,6983,392,2217,8538,27101,46008,55225,37761,26037,73107,287740
146,　　781　洗濯業,平成28年度,142,-,376,960,-,437,1423,7503,12856,15596,8081,1443,6517,55192
147,　　789　その他の洗濯・理容・美容業・浴場業,平成28年度,61,-,741,126,192,220,3123,2191,8760,3412,1560,278,3262,23865
148,　　796　冠婚葬祭業（冠婚葬祭互助会を含む）,平成28年度,136,137,845,692,50,132,1096,5728,6947,3753,7570,4377,17536,48863
149,　　797　写真現像・焼付業,平成28年度,6,-,-,-,-,474,53,620,-,545,-,163,505,2360
150,　　798　その他の生活関連サービス業,平成28年度,20,-,-,-,-,-,571,514,485,409,109,-,3131,5219
151,　　801　映画館,平成28年度,11,-,-,-,-,-,-,-,4626,1110,339,1653,6781,14509
152,　　803　ゴルフ場,平成28年度,212,1244,362,5130,-,588,603,5487,5171,10622,3058,1249,4523,38037
153,　　804　スポーツ施設提供業（注）,平成28年度,53,143,-,-,-,128,320,4246,6280,17703,16543,6624,4857,56844
154,　　805　公園、遊園地・テーマパーク,平成28年度,30,523,-,-,150,238,1285,750,500,2075,-,10250,25995,41766
155,　　806　ボウリング場,平成28年度,7,-,-,75,-,-,64,62,383,-,501,-,-,1085
156,　個人教授所,平成24年度,16,-,-,320,-,-,-,2483,1338,54,759,4992,-,9946
157,　個人教授所,平成25年度,17,95,-,-,309,121,1024,3678,379,1074,764,5001,574,13019
158,　個人教授所,平成26年度,13,-,-,-,-,428,-,3720,754,115,5208,-,-,10225
159,　個人教授所,平成27年度,13,-,-,-,-,254,425,3502,547,778,5103,-,615,11224
160,　個人教授所,平成28年度,14,184,252,-,-,307,128,3379,690,6076,-,-,-,11016
161,　サービス業（その他のサービス業を除く）,平成24年度,1512,2634,297,1808,2705,10267,36677,292376,285743,233469,67146,47231,90199,1070552
162,　サービス業（その他のサービス業を除く）,平成25年度,1477,2832,871,205,5306,34764,50058,311100,273532,247587,68864,57732,87100,1139951
163,　サービス業（その他のサービス業を除く）,平成26年度,1471,2294,341,1692,3325,4048,25529,283315,289175,157851,137581,74900,96962,1077013
164,　サービス業（その他のサービス業を除く）,平成27年度,1490,1746,419,1950,1241,3472,34993,292497,254458,321935,133305,61182,106384,1213582
165,　サービス業（その他のサービス業を除く）,平成28年度,1439,3487,-,305,1470,6156,9802,294097,319008,328095,90134,65186,118272,1236012
166,　　880　廃棄物処理業,平成28年度,228,195,-,-,255,160,304,2715,4055,5826,4186,7120,15871,40687
167,　　900　機械等修理業,平成28年度,267,83,-,88,338,423,715,8749,29494,27655,8320,11859,15399,103123
168,　　911　職業紹介業,平成28年度,23,157,-,-,-,-,-,318,-,139,436,237,9181,10468
169,　　912　労働者派遣業,平成28年度,390,101,-,152,258,3862,4615,181006,194673,206812,22811,25026,48355,687671
170,　　927　ディスプレイ業,平成28年度,29,-,-,65,-,-,52,1124,484,1247,2518,684,444,6618
171,　　928　テレマーケティング業,平成28年度,48,-,-,-,-,-,493,30821,25945,7528,33983,615,1184,100569
172,　　929　その他の事業サービス業,平成28年度,454,2951,-,-,619,1711,3623,69364,64357,78888,17880,19645,27838,286876
173,サービス業（その他のサービス業）,平成24年度,512,1022,148,441,1789,2420,11234,77749,90471,39868,18968,29353,60549,334012
174,サービス業（その他のサービス業）,平成25年度,497,691,93,157,1466,1322,8711,71603,86822,57755,13728,23181,66650,332179
175,サービス業（その他のサービス業）,平成26年度,482,634,571,1015,845,1311,20927,64151,73430,46917,39637,10748,78200,338386
176,サービス業（その他のサービス業）,平成27年度,492,389,587,365,4323,2837,5295,76268,62830,50485,36223,16083,100146,355831
177,サービス業（その他のサービス業）,平成28年度,481,1923,1333,155,651,2833,2691,80278,64149,46808,73681,5685,81672,361859
178,その他の産業,平成24年度,924,2101,843,639,3156,3256,30481,74830,81563,56356,29621,11826,54878,349550
179,その他の産業,平成25年度,932,946,1702,1126,1537,3099,20068,57488,77676,69177,28702,34060,49616,345197
180,その他の産業,平成26年度,940,1049,466,138,2818,2322,8742,94816,73509,70497,34287,18156,59917,366717
181,その他の産業,平成27年度,980,1111,84,138,2439,4629,7372,80506,80063,82311,36851,24656,74557,394717
182,その他の産業,平成28年度,955,1268,1211,1130,202,3874,4221,62678,83353,90945,42291,26421,83737,401331
